City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
207,Emba,KZ,48.8264,58.1442,15.46,99,99,2.64,overcast clouds
208,Usinsk,RU,65.9939,57.5281,9.43,85,69,15.48,broken clouds
209,Khuzhir,RU,53.1939,107.3397,23.74,66,89,0.78,overcast clouds
210,Sterling,US,39.0062,-77.4286,53.22,95,100,9.22,overcast clouds
211,Upernavik,GL,72.7868,-56.1549,6.37,78,100,5.1,overcast clouds
212,Lata,PT,40.1629,-8.3327,55.92,88,95,6.46,overcast clouds
213,Ambikapur,IN,23.1167,83.2,87.89,13,32,3.18,scattered clouds
214,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,8,7.4,clear sky
215,Cairns,AU,-16.9167,145.7667,89.06,62,100,11.5,overcast clouds
216,Georgetown,MY,5.4112,100.3354,89.53,81,20,3.44,few clouds
217,Cherskiy,RU,68.75,161.3,12.79,91,100,11.9,overcast clouds
218,Broome,US,42.2506,-75.833,47.62,78,100,3.0,light rain
219,Akureyri,IS,65.6835,-18.0878,24.73,86,100,10.36,light snow
220,Ponta Do Sol,PT,32.6667,-17.1,62.01,75,55,6.35,broken clouds
221,Faanui,PF,-16.4833,-151.75,81.59,73,23,13.42,few clouds
222,Anadyr,RU,64.75,177.4833,9.1,84,40,0.0,fog
223,Port Elizabeth,ZA,-33.918,25.5701,62.89,97,100,8.05,light intensity drizzle rain
224,Beaufort,MY,5.3473,115.7455,90.79,53,2,1.23,clear sky
225,Kahului,US,20.8947,-156.47,78.96,71,13,16.08,few clouds
226,Novyy Urengoy,RU,66.0833,76.6333,9.27,96,100,8.52,overcast clouds
227,Lagoa,PT,39.05,-27.9833,59.79,88,100,33.31,overcast clouds
228,Te Anau,NZ,-45.4167,167.7167,65.61,45,12,2.98,few clouds
229,Campina Verde,BR,-19.5356,-49.4864,77.07,68,99,4.83,overcast clouds
230,Akonolinga,CM,3.7667,12.25,71.56,79,98,1.54,light rain
231,Klaksvik,FO,62.2266,-6.589,45.52,97,99,7.85,overcast clouds
232,Correggio,IT,44.7698,10.7823,51.96,57,0,4.63,clear sky
233,Saint Anthony,US,45.0205,-93.218,40.93,81,0,4.61,clear sky
234,Sussex,US,41.1834,-74.6663,44.08,86,100,6.91,moderate rain
235,Baruun-Urt,MN,46.6806,113.2792,32.22,36,6,12.88,clear sky
236,Kabin Buri,TH,13.9511,101.7177,89.85,50,45,4.9,scattered clouds
237,Narsaq,GL,60.9167,-46.05,21.25,68,100,6.89,overcast clouds
